[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001895s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001481s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001581s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.003030s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | SQL: SELECT `notice`.`id` AS `id`, `notice`.`name` AS `name`, `notice`.`content` AS `content`, `notice`.`teacherid` AS `teacherid`, `notice`.`time` AS `time`, `notice`.`studentid` AS `studentid`, `notice`.`status` AS `status`, `notice`.`isAll` AS `isAll`, `teacher`.`name` AS `teachername`, `student`.`name` AS `studentname`, `student`.`number` AS `studentnumber` FROM `notice` LEFT JOIN `student` ON `student`.`number`=`notice`.`studentid` LEFT JOIN `teacher` ON `teacher`.`number`=`notice`.`teacherid` WHERE `notice`.`teacherid`='144200' ORDER BY `notice`.`id` DESC LIMIT 0, 20 [ RunTime:0.059257s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | SQL: SELECT * FROM `notice` WHERE `notice`.`studentid`=144200  [ RunTime:0.001254s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000754s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000847s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000499s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000549s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `class` [ RunTime:0.002293s ]
[ 2013-04-22T00:02:32+08:00 ] /attendance/teacher.php/Notice/getGrade?_dc=1366560152016&noticeParentId=&page=1&start=0&limit=25 | SQL: SELECT `grade` FROM `class` GROUP BY grade  [ RunTime:0.000450s ]
[ 2013-04-22T00:02:33+08:00 ] /attendance/teacher.php/Notice/getFamily?_dc=1366560153974&noticeParentId=1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-22T00:02:33+08:00 ] /attendance/teacher.php/Notice/getFamily?_dc=1366560153974&noticeParentId=1%2C2009&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000752s ]
[ 2013-04-22T00:02:33+08:00 ] /attendance/teacher.php/Notice/getFamily?_dc=1366560153974&noticeParentId=1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000836s ]
[ 2013-04-22T00:02:33+08:00 ] /attendance/teacher.php/Notice/getFamily?_dc=1366560153974&noticeParentId=1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:02:33+08:00 ] /attendance/teacher.php/Notice/getFamily?_dc=1366560153974&noticeParentId=1%2C2009&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000567s ]
