[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001014s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001202s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001577s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001629s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010280s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010347s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000808s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000803s ]
[ 2013-04-03T12:49:57+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000655s ]
