[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Run CheckRoute Behavior [ RunTime:0.000673s ]
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000746s ]
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000433s ]
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000487s ]
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | SQL: SHOW COLUMNS FROM `check` [ RunTime:0.002190s ]
[ 2013-04-21T14:36:41+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526201058&start=2012%2C1%2C1&end=2012%2C1%2C10&page=1&limit=20&sort=%5B%7B%22property%22%3A%22week%22%2C%22direction%22%3A%22ASC%22%7D%5D&query=091402116 | SQL: SELECT `student`.`number`, `student`.`name`, `schedule`.`year`, `schedule`.`term`, `schedule`.`day`, `check`.`week`, `schedule`.`time`, `check`.`status`, `check`.`checkagain` from `check` LEFT JOIN `student` ON `student`.`id`=`check`.`studentid` LEFT JOIN `schedule` ON `schedule`.`id`=`check`.`scheduleid` LEFT JOIN `class` ON `class`.`id`=`schedule`.`classid` LEFT JOIN `family` ON `family`.`id`=`student`.`familyid` WHERE `schedule`.`year`>=2012 AND `schedule`.`year`<=2012 AND `schedule`.`term`>=1 AND `schedule`.`term`<=1 AND `check`.`week`>=1 AND `check`.`week`<=10 AND `student`.`number`=091402116 [ RunTime:0.000436s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000798s ]
